unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,HR	: 	: 	: 	: 	10 	0 	0 	0 	0 	0 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,HU	0 	0 	15 	40 	90 	35 	15 	15 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,IE	: 	: 	: 	: 	: 	: 	5 	40 	100 	50 	45 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,IS	0 	0 	: 	0 	0 	0 	0 	5 	0 	15 	20 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,IT	0 	0 	0 	0 	270 	60 	35 	10 	2365 	2450 	4365 	3840 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,LI	: 	: 	: 	10 	0 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,LT	0 	5 	0 	0 	0 	5 	5 	0 	0 	5 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,LU	0 	10 	5 	10 	0 	10 	5 	10 	0 	5 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,LV	0 	0 	0 	5 	0 	0 	0 	10 	10 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,MT	0 	0 	0 	0 	5 	0 	25 	40 	40 	25 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,NL	165 	125 	390 	1140 	765 	435 	340 	255 	575 	685 	625 	525 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,NO	50 	75 	70 	85 	290 	175 	110 	105 	60 	80 	25 	25 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,PL	5 	75 	35 	55 	25 	25 	15 	30 	50 	30 	30 	10 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,RO	30 	30 	30 	35 	115 	535 	30 	35 	15 	75 	55 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,SE	390 	1155 	710 	725 	1450 	990 	800 	325 	1180 	1330 	855 	375 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,SK	10 	10 	5 	5 	5 	5 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,UK	240 	170 	210 	175 	140 	120 	85 	180 	375 	370 	745 	775 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,BE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,DE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,EU27_2020	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 d	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 d	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,FR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,HR	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,IS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,PL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TEMP_PROT,UK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,AT	9245 	11840 	10535 	9325 	7955 	6860 	4070 	5095 	3480 	6960 	10490 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,BE	5070 	7335 	7980 	10460 	12485 	11485 	7950 	7685 	5375 	5065 	6240 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,BG	25 	50 	35 	20 	25 	40 	20 	10 	25 	20 	35 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,CH	6035 	5415 	4295 	3595 	3845 	3400 	2460 	2040 	1985 	1970 	3285 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,CY	2845 	2660 	2975 	3175 	1550 	960 	495 	575 	250 	355 	480 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,CZ	1475 	415 	425 	750 	440 	415 	565 	395 	405 	395 	405 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,DE	11045 	6725 	7775 	24565 	29445 	36665 	44335 	93845 	123700 	158090 	146470 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,DK	480 	440 	1080 	2235 	1495 	1660 	1785 	1335 	1425 	2055 	1965 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,EE	0 	0 	5 	10 	5 	0 	5 	10 	40 	40 	30 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,EL	1340 	2105 	45 	625 	1650 	3900 	7665 	7655 	12485 	9545 	7200 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,ES	1140 	1710 	1545 	1125 	1145 	1110 	920 	580 	515 	620 	975 	830 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,EU27_2020	72815 	75670 	75715 	110885 	117680 	120960 	123725 	166870 	217245 	269080 	296730 	57995 d
PER,EXT_EU27_2020,T,TOTAL,TOTAL,EU28	86770 	93255 	97685 	128545 	132870 	134645 	136030 	179300 	230985 	281550 	308890 	73600 d
PER,EXT_EU27_2020,T,TOTAL,TOTAL,FI	90 	60 	115 	340 	330 	230 	210 	170 	695 	1260 	2065 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,FR	24340 	19545 	23080 	34550 	36245 	37550 	37085 	34580 	41285 	47740 	46415 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	135 	95 	110 	85 	105 	95 	85 	: 
